,prob
s1,0.0005333333333333334
s2,0.00016666666666666666
s3,0.00016666666666666666
s4,0.00013333333333333334
s5,0.0002
s6,0.0003666666666666667
s7,0.0011333333333333334
s8,0.0036666666666666666
s9,0.0038
s10,0.005
s11,0.009399999999999999
s12,0.004833333333333333
s13,0.0018333333333333333
s14,0.0008666666666666667
s15,0.0005
s16,0.0002333333333333333
s17,0.00013333333333333334
s18,6.666666666666667e-05
s19,3.3333333333333335e-05
s20,0.0002666666666666667
s21,0.0005333333333333334
s22,0.00016666666666666666
s23,0.00016666666666666666
s24,0.00013333333333333334
s25,0.0002
s26,0.0003666666666666667
s27,0.0011333333333333334
s28,0.0036666666666666666
s29,0.0038
s30,0.005
s31,0.009399999999999999
s32,0.004833333333333333
s33,0.0018333333333333333
s34,0.0008666666666666667
s35,0.0005
s36,0.0002333333333333333
s37,0.00013333333333333334
s38,6.666666666666667e-05
s39,3.3333333333333335e-05
s40,0.0002666666666666667
s41,0.0005333333333333334
s42,0.00016666666666666666
s43,0.00016666666666666666
s44,0.00013333333333333334
s45,0.0002
s46,0.0003666666666666667
s47,0.0011333333333333334
s48,0.0036666666666666666
s49,0.0038
s50,0.005
s51,0.009399999999999999
s52,0.004833333333333333
s53,0.0018333333333333333
s54,0.0008666666666666667
s55,0.0005
s56,0.0002333333333333333
s57,0.00013333333333333334
s58,6.666666666666667e-05
s59,3.3333333333333335e-05
s60,0.0002666666666666667
s61,0.0005333333333333334
s62,0.00016666666666666666
s63,0.00016666666666666666
s64,0.00013333333333333334
s65,0.0002
s66,0.0003666666666666667
s67,0.0011333333333333334
s68,0.0036666666666666666
s69,0.0038
s70,0.005
s71,0.009399999999999999
s72,0.004833333333333333
s73,0.0018333333333333333
s74,0.0008666666666666667
s75,0.0005
s76,0.0002333333333333333
s77,0.00013333333333333334
s78,6.666666666666667e-05
s79,3.3333333333333335e-05
s80,0.0002666666666666667
s81,0.0005333333333333334
s82,0.00016666666666666666
s83,0.00016666666666666666
s84,0.00013333333333333334
s85,0.0002
s86,0.0003666666666666667
s87,0.0011333333333333334
s88,0.0036666666666666666
s89,0.0038
s90,0.005
s91,0.009399999999999999
s92,0.004833333333333333
s93,0.0018333333333333333
s94,0.0008666666666666667
s95,0.0005
s96,0.0002333333333333333
s97,0.00013333333333333334
s98,6.666666666666667e-05
s99,3.3333333333333335e-05
s100,0.0002666666666666667
s101,0.0005333333333333334
s102,0.00016666666666666666
s103,0.00016666666666666666
s104,0.00013333333333333334
s105,0.0002
s106,0.0003666666666666667
s107,0.0011333333333333334
s108,0.0036666666666666666
s109,0.0038
s110,0.005
s111,0.009399999999999999
s112,0.004833333333333333
s113,0.0018333333333333333
s114,0.0008666666666666667
s115,0.0005
s116,0.0002333333333333333
s117,0.00013333333333333334
s118,6.666666666666667e-05
s119,3.3333333333333335e-05
s120,0.0002666666666666667
s121,0.0005333333333333334
s122,0.00016666666666666666
s123,0.00016666666666666666
s124,0.00013333333333333334
s125,0.0002
s126,0.0003666666666666667
s127,0.0011333333333333334
s128,0.0036666666666666666
s129,0.0038
s130,0.005
s131,0.009399999999999999
s132,0.004833333333333333
s133,0.0018333333333333333
s134,0.0008666666666666667
s135,0.0005
s136,0.0002333333333333333
