,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
s1,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s2,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s3,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s4,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s5,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s6,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s7,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s8,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s9,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s10,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
