,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
s1,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412457,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.382112421683374,18.860377051154117,24.978522935921248,24.11023330261511,24.98835617615927
s2,24.399697124509398,25.0,24.996110579581796,24.31676375893059,23.277482980319476,24.401586843038643,24.091262215629772,25.0,24.991843070975325,25.0,23.55216568206928,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120553,11.729938668724479,14.338488655949057,18.955938908072973,20.000262520773564,19.606661804391017,18.71518353746352,23.026677806739514
s3,20.536060241995585,23.88756948378203,24.977834509385627,25.0,25.0,25.0,25.0,24.974663548931844,25.0,25.0,25.0,25.0,25.0,24.999748955649043,24.9796560300188,24.44723485032077,24.47203454658526,24.334923881700757,21.984289530753244,20.370474453473488,17.094760202356564,15.963345802416425,19.115495082291243,18.165914496593054
s4,24.717497271649734,24.985930269142635,23.989367205373586,21.668358708888395,23.750432319177985,22.936996187823052,24.023417206676662,24.01774976553648,22.285137955540634,22.441950223133777,22.977878916595724,23.572526978596347,24.997652806849125,24.565093058505095,22.869874111559433,17.824940731665357,4.201494134532917,1.9845622890573296,7.008044816237751,16.546432579214137,18.885431958310537,17.508971105123408,13.29827808078672,18.190486544939755
s5,21.271899485153334,23.035837988323415,23.79226656175268,23.61563431786157,24.9830398987601,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.489357016842117,15.991621356729677,14.677357408135085,15.695369569434805,14.512362022217001,21.35486930370074,24.73256754478021,18.61343676625558,16.160092862453713
s6,21.84933482546356,23.225533115043937,19.99466439794828,21.617560355336842,23.386771300827007,25.0,25.0,21.54622814714208,19.509603809947556,20.31772354284758,18.160728111143587,12.243157486861381,15.300842854980026,15.48776744979854,19.00544484752572,10.066692357778019,0.6791104267093984,0.6766176305597555,2.05411670257506,1.6247963805814019,10.183720697790699,7.794727920144554,10.863691844944972,13.372635250745791
s7,22.08788644261615,18.359044951567032,20.906039370629582,16.022703681003193,19.73006988346647,19.016414464178673,17.504425017878464,12.424538103942522,17.55881390963683,17.833743385069774,22.155941197564392,20.37839863521938,23.59776328655461,24.81866258166989,23.987720408432434,23.24324092381043,24.2517099632463,20.535786807705694,19.87896470287422,17.486386270614563,21.164498601414703,20.62107713119374,21.060813777251226,24.35741962851929
s8,24.507716986766084,24.10253343280733,23.24715148182677,22.44835719071298,13.60551953950124,13.021714569816385,6.284927182253419,16.99814998485514,18.2045668792174,20.145053022117498,22.507449621910673,24.86799370956958,24.992698032305366,25.0,25.0,25.0,25.0,25.0,24.32778042420194,23.25211014501523,24.891126007101846,24.992816325312468,24.999257631156436,25.0
s9,24.111569453781865,25.0,25.0,24.862321054893833,24.473417012852778,23.340553546878468,24.720532240435517,24.99945158265245,25.0,25.0,25.0,25.0,25.0,24.666222881632194,24.621837617873137,22.72671631976265,23.89319654966706,24.62011744081841,25.0,25.0,25.0,25.0,24.00870962944257,18.710010745493157
s10,22.39600337455222,20.765574058410184,21.895771945861895,20.80620934768604,23.894028158507517,23.626437801736458,24.537015891490512,23.07568755307324,19.060638093682364,22.27489976062376,17.996200476268683,17.589478457821443,12.03717610090099,10.947408363617916,13.90481701323477,12.686443811590754,16.871391978438872,21.839459405766448,24.101602142681255,19.454564394491374,17.245120098839916,23.167591762069627,23.8294178177589,24.99993958054185
s11,20.54673402669138,22.760586803658285,24.43668448991362,23.91529736934598,24.983871516894666,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.903461352096688,25.0,25.0,24.861140797126698,24.11866253650847,24.2855159867084,24.391065579672436,25.0,21.98419373151488
s12,22.75748006053216,23.376337855966653,20.033343256803427,20.976379381339118,14.920236429284495,18.67924831587471,21.28534902510217,21.964755013217943,23.658644171590794,22.977750787478602,22.754415948221357,18.30502934672752,15.465912616246877,8.321284537323931,18.649987719116243,20.490275049007927,13.052333535879198,5.744221697158574,5.12973931451988,6.541807982355918,11.786435755404126,19.76684872305322,23.244757145442602,19.741047030691
s13,20.913677498648173,19.62038735541975,24.067544858802012,24.215924995410855,23.963906091567427,23.757888747373027,18.901114943798184,20.783660731423513,18.04895282484626,20.975839110666872,17.85124940503725,16.404138019804815,9.780979729171209,8.938898279559131,8.371469922408636,14.223581728918461,18.042677171296937,8.925255683519147,7.2229419313879,1.4287385571411364,0.0,3.9013434133947595,6.117433320604043,7.2927549658711035
s14,21.480663950054005,19.88303411115968,22.780871538503376,24.026395409867114,24.594414294601606,23.746199613547184,20.755492660217246,17.539274342248618,20.455783200704502,24.601388687273626,24.90276467768154,23.38730219453016,24.43134763005462,24.99983439711023,25.0,25.0,25.0,25.0,24.967118763599498,22.372623951824586,20.547763277658454,24.48449256775638,23.937400909091952,23.789156990677526
s15,23.816693031931187,24.927998827566427,24.60724876365092,25.0,24.97777487442076,24.513598884032103,24.55529037370203,23.5401929578379,24.544683436502385,23.7439448037964,22.559988553919354,16.3337743656795,15.474533936446951,14.326050591139103,14.005513451821269,11.125138125050864,12.33552005731559,14.199562320577632,18.76098175173988,23.21591164999771,22.361122104897365,16.915594002664886,11.515411883924234,10.032222779273912
s16,19.93496896752478,18.19722971931822,23.51656278152917,24.670408712148014,24.399459934116962,24.958178929508215,24.999365853872572,24.99568701975552,25.0,24.433580976712804,23.250771487881984,23.735568904677308,23.158683468919946,23.023639014883305,21.929450962479187,23.96165966358933,25.0,22.83500588606938,24.917121257883352,24.927198417095063,24.99385426124123,24.987597888519726,25.0,25.0
s17,23.748255108594062,24.18871686335731,24.999299170152085,25.0,25.0,24.863853334608635,24.42569486403237,20.835250779117175,20.149522625409208,19.17482069175593,17.079693535167323,12.28686399079328,10.214647394858842,11.081379466247379,14.599038339956106,21.01163995010226,17.81344072211533,18.831581460196077,22.97655476125278,24.988514327831545,25.0,25.0,25.0,25.0
s18,24.418109965200433,24.993106178917994,21.4075395043652,18.184734657261338,18.25814075577918,17.954868480902167,17.520828410016765,23.478385461840624,23.940801593593914,24.956503270111494,24.915555679415373,20.24395411557463,17.640237349455823,17.52413374138904,19.123384679117255,23.54587063221075,21.47556229612565,15.284703273583684,17.13597403350823,17.87286852533577,16.064912278191443,16.180604645902342,21.164193078956128,18.072973722915663
s19,22.60756914225179,14.378594702437484,17.465102931163944,17.59423588423093,20.809902793689538,23.378101971133407,21.23661103060114,22.602492453913452,17.25731768159908,14.017055111461122,14.153655491067056,6.989350906422347,4.255654653297784,2.5942807148801106,4.0629065423768385,10.374617278371513,11.655214014825859,9.335955701937495,12.712143144696434,18.52012442486591,20.58309631955279,24.776063877360173,24.972803351062087,25.0
s20,23.257408773905713,23.59520873362513,22.726410624749253,24.053997661147424,24.12343198564096,24.032839411022984,24.16945216466518,23.2689397251117,22.1256196586083,22.375366780697007,24.194698840349442,24.99887578548163,25.0,25.0,25.0,24.850362777820557,24.318936403555252,22.176569325832965,20.41337648697835,12.15739969792705,10.50790618413668,13.788359503766504,14.301807150521407,17.24328131257077
s21,23.58363570543315,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.705856346588295,24.715236333644768,20.715574831777126,20.777479379694554,18.661338593626432,17.65778385247579,15.974810970816323,12.041736960235083,11.669595265675776,14.769209410153264,16.145464370122255,20.554477568447876,20.151800164658653,23.736852466761416,24.635245962971858
s22,20.737394125748104,20.06814971352323,17.373777691418503,15.875169099034071,17.96171460016215,20.412796732386525,16.77742466001576,21.208312274992014,24.790645720160942,24.78224606204196,18.652214814766186,15.256048016620843,18.82983750868528,20.329433355905724,19.772875926965764,22.46035380164754,20.773614894189638,18.097170198958842,18.601431024219934,23.3058277552089,23.791394622711582,24.961127416248047,24.98187778146137,24.844790893210124
s23,24.520085785795768,24.586146795624263,24.61589353689526,24.880283113937562,24.19744596925795,25.0,25.0,24.82704374528843,22.911089051125167,24.999199467003322,25.0,23.293647894796084,18.786982637379303,23.69191896204973,15.308277954738806,18.63127921148527,20.750495500944446,19.4180012810948,10.540004486940235,19.761579097245676,22.143651715415817,23.459618888922193,24.640950786036214,20.837925460878633
s24,22.672555674852834,24.214061084362793,21.857001376800543,20.543971925196587,19.499129491458014,18.678711094630618,22.757693063168315,24.9951089115192,25.0,25.0,25.0,25.0,24.57204183482819,24.586672836686954,24.76433373319698,23.750666741939852,23.24193121044586,23.480220917345974,16.141204158707115,16.244150781600965,8.969869014441924,7.122595547320626,5.040457907122733,13.086765314363282
s25,23.377085922053794,24.071495646681985,24.131815596007186,21.421970612480113,21.558168046291517,23.347243107807095,22.582262029290973,20.743691543337068,15.085521197100563,7.272976940528857,7.3257808445030514,12.521184711926315,19.35310858064403,24.309943365213364,24.595081362998116,24.99577554053172,24.988177920395334,23.62962491312597,20.273686554275496,19.167574170242325,21.700846384212515,24.87120864009681,24.774273969797704,24.996817934937855
s26,21.62305243523018,19.59525576132226,21.420705310517658,21.03527765279638,19.310988470033497,19.312022508351443,13.614307270348501,10.022558139385186,9.636315530907133,14.075655189804577,21.62851000934487,15.743687992680806,11.21390276096027,10.415219029369265,14.08839597751961,19.83946900612006,24.41552062319709,24.61657411866308,22.41327937236867,17.675984080162642,19.856879504375417,20.921117308860378,14.874841737705227,12.181971014354072
s27,24.656449062547548,23.634163921300697,24.996063466655983,25.0,25.0,25.0,25.0,25.0,24.99580511819248,25.0,25.0,22.69389133107543,12.558531114192839,13.934207415447897,13.052047980954619,11.44676587120828,16.536751677808645,17.685952062482386,17.16551584967949,18.656963355880208,19.312284488279722,14.768803045740343,8.664615169690238,1.9101213567401432
s28,23.065216198986295,21.299100612318618,23.052352233396103,24.75574093746998,24.911061420414185,23.776329638185018,23.993047155555146,24.560930799968137,20.835530825733407,18.208040771582212,20.45552746357311,11.370233830727997,13.62947914174243,12.334665928315774,16.008427478824352,15.223733831376428,6.942189000338063,10.228586352854604,12.211500857899217,17.352659124279512,16.69044040700969,17.137064282869567,21.649738563574058,20.86733632936702
s29,23.89752059292225,24.571644200934774,24.882199784520058,24.318313105404957,23.919794674972504,22.942029525955927,24.600122925459733,19.15612882505718,23.901010060508053,24.619770884665712,25.0,24.925316932294027,22.307876304053842,22.525418147286924,24.783311700005502,24.998557255600193,24.834429926009793,22.086298332198698,22.683899833277906,20.081580367735484,17.2939125935024,24.131316208556186,20.855174328580134,24.406188412407314
s30,21.27388192948116,20.106477812736262,17.470752241411205,17.504454740397332,23.53714174677094,25.0,25.0,24.97873105044951,25.0,24.911193745488003,24.996461615116186,25.0,24.530587912603938,24.770543190247523,24.403582292335297,24.70204313738314,24.646288455117993,23.080731358721998,21.29494134997336,22.524447874645244,19.421640837486112,13.372137163600502,6.3283902351292305,10.685395758217476
